eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,AU-ID,Full Name,First Name,Last Name,Tenure,Position,Department,ORCID,EID,Journal,ISSN,Rank,Category,Secondary Category,academic_year
2-s2.0-84877872115,,,,An exploration of timing of online surveys on response characteristics,cp,Conference Paper,Matta V.,60018306;60011132,Wright State University;Ohio University,Dayton;Athens,United States;United States,2,"Matta, Vic;Jeyaraj, Anand",35817340600;16426012500,60011132;60018306,2012-12-01,2012,"18th Americas Conference on Information Systems 2012, AMCIS 2012",,21100241206,,Conference Proceeding,4,,,3050,"This paper conducts a study of responses of a web-based survey of opinion contributors to Amazon.com to explore contextual characteristics of the responses. These include the early versus cumulative response rates, best times to receive a survey request, best times to broadcast a survey request, coordination of the delays before response for different broadcast times. The survey is broadcasted every hour over a 24 hour period to account for respondents differing time zones. This research therefore purports to answer the questions that are often significant to quantitative researchers who need to optimize their data collection based on their needs. For instance: When do most respondents respond? How long do they wait before doing so? What would be the best time to send out a survey so that the email does not get deprioritized for later? Does this time differ for the highest cumulative response rate?",Online surveys | Response characteristics | Timing,0,0,,,,undefined,,35817340600,Vic Matta,Vic,Matta,Tenure,Associate Professor,Analytics and Information Systems Faculty,,35817340600,,,,,,2012-2013
2-s2.0-84857955793,10.1109/HICSS.2012.662,,,Evaluating variance in Cost-Benefit perceptions of RFID systems in the Supply Chain sector,cp,Conference Paper,Matta V.,60011132,Ohio University,Athens,United States,2,"Matta, Vic;Feger, Ana Rosado",35817340600;41661240900,60011132;60011132,2012-01-01,2012,Proceedings of the Annual Hawaii International Conference on System Sciences,15301605,145755,,Conference Proceeding,,,6149466,4730-4736,"Since the introduction of Radio Frequency Identification (RFID) systems, retailers such as Wal-Mart have pushed their suppliers for adoption. The Cost-Benefit justification for retailers is more direct and stronger than it is for other supply chain sectors, especially manufacturers, who bear the cost of affixing tags. Their cost-benefit scenario improves if the technology can be used to streamline the manufacturing process. Prior studies have noted this imbalance in the costs and benefits between Supply Chain entities, and even conducted case studies to examine specific industries. No studies were found to attempt to capture the comparative perceptions of the costs and benefits across the supply chain echelons. This paper therefore attempts to explore and understand the variance in perceived costs and benefits for the use of RFID systems by managers of organizations on different echelons of the supply chain. The study is based on 210 responses to a validated instrument used in prior research on novel information technology. © 2012 IEEE.",,1,0,,,,undefined,,35817340600,Vic Matta,Vic,Matta,Tenure,Associate Professor,Analytics and Information Systems Faculty,,35817340600,,,,,,2011-2012
2-s2.0-84857784997,10.1016/j.ijinfomgt.2011.10.002,S0268401211001228,,"Initiation, experimentation, implementation of innovations: The case for radio frequency identification systems",ar,Article,Matta V.,60018306;60011132,Wright State University;Ohio University,Dayton;Athens,United States;United States,3,"Matta, Vic;Koonce, David;Jeyaraj, Anand",35817340600;6603670465;16426012500,60011132;60011132;60018306,2012-01-01,April 2012,International Journal of Information Management,02684012,15631,,Journal,32,2,,164-174,"This research primarily examines the stages hypothesis of the process of technology adoption by management personnel of organizations in the supply chain sector involving the Initiation, Experimentation, and Implementation stages. Further, this research examines key antecedents that may influence the various stages, including top management support, external pressure, and organization size. Using responses provided by top management representatives of 210 supply chain organizations on their organizations' engagement with Radio Frequency Identification (RFID) technologies, this research finds that the stages hypothesis holds for RFID technologies. Specifically, organizations were seen to sequentially progress through the Initiation, Experimentation, and Implementation stages. Over 80% of organizations, who had reached the Implementation stage of adoption, had gone through the Initiation and Experimentation stages as well. Additionally, the data showed that the antecedents exerted varying levels of influences on the three stages. Top management support strongly influenced all three stages; external pressure influenced the Initiation and Implementation stages, and organizational size influenced Experimentation and Implementation stages. The paper discusses several implications for research and practice. © 2011 Elsevier Ltd. All rights reserved.",Adoption stages | Diffusion processes | Experimentation | Implementation | Initiation | RFID | Technology innovation,26,0,,,NSF,undefined,National Science Foundation,35817340600,Vic Matta,Vic,Matta,Tenure,Associate Professor,Analytics and Information Systems Faculty,,35817340600,International Journal of Information Management,0268-4012,High Quality,,,2011-2012
2-s2.0-84870339379,10.2139/ssrn.1906919,,,Motivations of electronic word-of-mouth communications by reviewers: A proposed study,cp,Conference Paper,Matta V.,60011132,Ohio University,Athens,United States,2,"Matta, Vic;Frost, Raymond",35817340600;55496017300,60011132;60011132,2011-01-01,2011,"17th Americas Conference on Information Systems 2011, AMCIS 2011",,21100220474,,Conference Proceeding,5,,,3662,"Shopping sites, such as Amazon, encourage consumers to create online reviews for products through product reviews. Such review systems enhance the value of Amazon and eBay as shopping destinations. However, Amazon takes it one step further by allowing other consumers to rate the reviews, creating reputation systems for reviewers. Those reviewers with the highest ratings are given greater prominence. They are featured first in the listings, they are given an honorary title, membership in an honorary group, and sometimes they are even provided with products in advance of the product's release. These reviewers work long hours, without pay, to provide a valuable service to their fellow consumers. For instance, the top 1000 reviewers each write hundreds of reviews. What exactly motivates this extraordinary effort? How does the reputation system of helpfulness votes affect the case for Amazon's reviewers?",Electronic word-of-mouth communications | EWOM | Motivations | Online feedback systems | Top reviewers | Web 2.0,0,0,repositoryam,Green,,undefined,,35817340600,Vic Matta,Vic,Matta,Tenure,Associate Professor,Analytics and Information Systems Faculty,,35817340600,,,,,,2010-2011
2-s2.0-84865643919,,,,Exploring impact of self-selected student teams and academic potential on satisfaction,cp,Conference Paper,Matta V.,60011132,Ohio University,Athens,United States,3,"Matta, Vic;Luce, Thom;Ciavarro, Gina",35817340600;57191119197;55348842400,60011132;60011132;60011132,2010-12-01,2010,Proceedings of ISECON,15427382,21100212106,,Conference Proceeding,,,,,"Creation of teams in professional and student contexts has been well researched and written about. The research landscape can be divided into instructor selected and student selected teams, both of which have advantages and disadvantages. The purpose of this paper is to combine the two techniques for creating teams in an effort to maximize the advantages and minimize the disadvantages, all while achieving high student satisfaction. The paper explores a technique for creating student teams to maximize student satisfaction in a high pressure project using two antecedents: (i) prior academic performance in the same major and (ii) compliance with student's preferences for their peers. Student satisfaction is measured by a survey developed and used for a similar project (Mahenthiran & Rouse, 2000). Results confirm that academic performance is a clear predictor of student satisfaction; however the act of students selecting their teammates has a very small impact in their level of satisfaction in the team. The causes of this outcome are discussed along with a few limitations of the study and implications. © 2010 EDSIG (Education Special Interest Group of the AITP).",Academic heterogeneity | Creating teams | Student satisfaction | Student-selected teams | Team formation,5,0,,,,undefined,,35817340600,Vic Matta,Vic,Matta,Tenure,Associate Professor,Analytics and Information Systems Faculty,,35817340600,,,,,,2010-2011
2-s2.0-84901045295,,,,Refining the functional breakdown of RFID applications,cp,Conference Paper,Koonce D.,60011132,Ohio University,Athens,United States,2,"Koonce, David A.;Matta, Vic",6603670465;35817340600,60011132;60011132,2010-01-01,2010,IIE Annual Conference and Expo 2010 Proceedings,,21100314706,,Conference Proceeding,,,,,"Matta and Koonce [1] classified RFID applications into the three major functions of identification, location and state, with specializations of the functions, like proxy tags, or readers at the system boundaries to maintain system containment. This paper presents the results of validating the model with 150 applications. These include a modification to the model and an extension. Within the Identification, this paper proposes the extension of authentication. The prior localization specialization of proxy is proposed to move into the major function of identification. Within state, the two specializations, crude and sophisticated, should be redefined as threshold and tracking.",Functional framework | RFID | RFID applications,0,0,,,,undefined,,35817340600,Vic Matta,Vic,Matta,Tenure,Associate Professor,Analytics and Information Systems Faculty,,35817340600,,,,,,2009-2010
2-s2.0-67649105241,,,,Semantic breakdown of RFID functionality to support application development,ar,Article,Matta V.,60011132,Ohio University,Athens,United States,2,"Matta, Vic;Koonce, David",35817340600;6603670465,60011132;60011132,2009-03-01,March 2009,Journal of Computer Information Systems,08874417,12373,,Journal,49,3,,54-59,"In this concept paper, we study the complex innovation of Radio Frequency Identification Systems (RFID) in context of their functional value. The purpose of this research is to provide an interpretation of functionality as presented by contemporary RFID systems and organized in the form of a functional matrix that demonstrates RFID mainstream applications. The fundamental functions are broken down into three core areas of Identification, Location and State. Identification is shown to be paramount - especially because of the serial number uniqueness carried by contemporary 'Gen2' RFID tags. Location is an inherent function with several sub-classifications depending on whether it is based on proximity or proxy. Finally, the function of state (such as temperature) is shown to be a specialized application of RFID. Applications that use these functions are discussed and plotted in the form of a simple matrix. The expectation is that the functional model may better guide design and development of the RFID applications by its use as an instrument for definition of requirements.",Automatic identification | Function | Functional matrix | Model of functionality | Planning | Requirements definition | RFID | RFID applications | Semantic model,3,0,,,,undefined,,35817340600,Vic Matta,Vic,Matta,Tenure,Associate Professor,Analytics and Information Systems Faculty,,35817340600,Journal of Computer Information Systems,0887-4417,High Quality,,,2008-2009
2-s2.0-84869818724,,,,Meeting the challenge of is curriculum Modernization: A tutorial on the successful overhaul and continuous improvement of the is curriculum at Ohio university,cp,Conference Paper,McGann S.,113213800,OU MIS Department,,,4,"McGann, Sean T.;Frost, Raymond;Matta, Vic;Huang, Wayne",36006729400;55496017300;35817340600;57199043888,113213800;113213800;113213800;113213800,2005-12-01,2005,"Association for Information Systems - 11th Americas Conference on Information Systems, AMCIS 2005: A Conference on a Human Scale",,21100220352,,Conference Proceeding,7,,,3526,,Information systems courses | Information systems pedagogy | IS curricula,0,0,,,,undefined,,35817340600,Vic Matta,Vic,Matta,Tenure,Associate Professor,Analytics and Information Systems Faculty,,35817340600,,,,,,2005-2006
2-s2.0-84859283989,,,,Resistance in adoption of radio frequency identification systems in the supply chain industry,cp,Conference Paper,Koonce D.,60011132,Ohio University,Athens,United States,2,"Koonce, David;Matta, Vic",6603670465;35817340600,60011132;60011132,2005-12-01,2005,IIE Annual Conference and Exposition 2005,,5000153103,,Conference Proceeding,,,,,"Early resistance to Radio Frequency Identification (RFID) Systems came from the civil liberties groups, for fear of unprecedented surveillance and invasion of privacy. While the popularity of RFID has increased like that of most fast emerging technologies, its ratio of adopters to observers is lesser than that of barcodes, the preceding automatic identification technology. Although the Supply Chain stands to benefit most from adopting RFID, it has displayed more resistance than some other smaller pockets of industry such as animal tagging or highway toll collection. This article discusses the causes of resistance to adoption in the Supply Chain.",RFID | Supply Chain | Technology Adoption,0,0,,,,undefined,,35817340600,Vic Matta,Vic,Matta,Tenure,Associate Professor,Analytics and Information Systems Faculty,,35817340600,,,,,,2005-2006
2-s2.0-85085098981,10.1504/IJLSM.2020.107230,,,A multi-objective model for minimising makespan and total travel time in put wall-based picking systems,ar,Article,Ardjmand E.,60022636;60011132;60000689,Frostburg State University;Ohio University;Kansas State University,Frostburg;Athens;Manhattan,United States;United States;United States,6,"Ardjmand, Ehsan;Youssef, Eyad M.;Moyer, Adam;Young, William A.;Weckman, Gary R.;Shakeri, Heman",55625571400;56195708500;57216881928;23013584800;6602977086;55692755200,60022636;60022636;60011132;60011132;60011132;60000689,2020-01-01,2020,International Journal of Logistics Systems and Management,17427967,4700151504,17427975,Journal,36,1,,138-176,"In this study, a multi-objective order batching and picker routing model for minimising the total travel time and makespan in a put wall-based picking system is proposed. A put wall is a hardware composed of containers that is usually used as a sorting station. Put walls usually have limited capacity and can accommodate only a part of received orders at a time. Thus, in put wall-based picking systems, order batching and picker routing should be considered along with the scheduling of the orders on the put wall. To solve the problem, a genetic algorithm (GA), a coevolutionary genetic algorithm (COGA) and an archived multi-objective simulated annealing (AMOSA) are proposed. It is found that GA and COGA offer a more diverse set of solutions to the problem compared to AMOSA.",Genetic algorithm | Order batching | Order picking | Picker routing | Put wall | Simulated annealing,3,0,,,,undefined,,57216881928,Adam Moyer,Adam,Moyer,Tenure,Assistant Professor,Analytics and Information Systems Faculty,,57216881928,International Journal of Logistics Management,0957-4093,High Quality,,,2019-2020
2-s2.0-0010906320,10.1016/0360-8352(93)90305-H,0360-8352(93)90305-H,,Back propagation artificial neural networks for the analysis of quality control charts,ar,Article,Velasco T.,60011132,Ohio University,Athens,United States,2,"Velasco, Tomas;Rowe, Mark R.",6701615068;24756563300,60011132;60011132,1993-01-01,September 1993,Computers and Industrial Engineering,03608352,18164,,Journal,25,1-4,,397-400,"Back propagation artificial neural networks are used in the analysis of quality control charts to recognize patterns that indicate out of control situations as specified by the Western Electric Handbook rules, including trends and cyclic behaviors. Interfacing options with existing statistical Process Control systems in a computer integrated manufacturing environment are also explored. © 1993.",,26,0,,,,undefined,,24756563300,Mark Rowe,Mark,Rowe,Instructional,Associate Professor,Analytics and Information Systems Faculty,,24756563300,Computers and Industrial engineering,1879-0550,High Quality,,,1992-1993
2-s2.0-85160347546,10.1016/j.ejor.2023.04.039,S0377221723003375,,Competitive pricing under local network effects,ar,Article,Tavasoli A.,60135978;60021918,Ohio University College of Business;University of Virginia,Athens;Charlottesville,United States;United States,5,"Tavasoli, Ali;Fazli, Mehrdad;Ardjmand, Ehsan;Young, William A.;Shakeri, Heman",36971519100;57205340436;55625571400;23013584800;55692755200,60021918;60021918;60135978;60135978;60021918,2023-12-01,1 December 2023,European Journal of Operational Research,03772217,22489,,Journal,311,2,,545-566,"This paper will study the pricing problem of two competitive products in a market characterized by local externalities. For this purpose, a stochastic model of sales propagation among consumers is developed. This model utilizes a compartmentalized schema denoted as a Markov Chain where the local network effects impact transition rates. A key aspect of the proposed model is its multilayer structure, where products’ information streams through different layers. The equilibrium conditions and the optimal pricing strategies in a competitive market are examined. The pricing problem is investigated in two settings of homogeneous and heterogeneous (i.e., differential). It is shown that the existence and coexistence of individual products in the equilibrium point depends on an epidemic parameter, called reproduction number, that quantifies the speed by which a product's sales spread over the network. Moreover, it is found that the correlation between the network's layers impacts the equilibrium point. Specifically, a negative correlation between the network's layers allows a wider coexistence region than a positive correlation. Additionally, it is found that a negative correlation between the network's layers provides more flexibility to firms for their pricing practices and yields a higher profit. Finally, different pricing strategies are characterized with respect to model parameters and the centrality measures of different networks. It is observed that while centrality measures and optimal prices are highly correlated, node centralities alone are not enough to determine optimal prices.",Competitive pricing | Dynamics | Network externalities | Networks | Viral marketing,0,0,,,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,European Journal of Operations Research,0377-2217,Top,,,2023-2024
2-s2.0-85109933392,10.1016/j.asoc.2021.107685,S1568494621006062,,A multi-objective two-echelon location-routing problem for cash logistics: A metaheuristic approach,ar,Article,Fallahtafti A.,60135978;60011132,Ohio University College of Business;Ohio University,Athens;Athens,United States;United States,4,"Fallahtafti, Alireza;Ardjmand, Ehsan;Young, William A.;Weckman, Gary R.",57211201264;55625571400;23013584800;6602977086,60011132;60135978;60135978;60011132,2021-11-01,November 2021,Applied Soft Computing,15684946,18136,,Journal,111,,107685,,"This study proposes a two-echelon location routing framework for cash-in-transit. In order to mitigate the risk of robbery in cash transportation, a dynamic risk index is considered. The utilized risk function encompasses both the amount of cash carried by a vehicle and the travel time of a route, and it relaxes a pre-defined parameter of risk threshold in the literature. Multiple exact and metaheuristic methodologies are utilized and evaluated on several small to medium-sized instances and a case study. The effectiveness of the proposed methods is evaluated and shown by examining various multi-objective performance measures. The case study is researched in more depth to obtain managerial insights, and the results show that depending on the risk or cost efficiency of the solutions on a Pareto frontier, the risk of traversing longer routes or transporting larger amounts of cash can be determining in locating new bank vaults.",Cash-in-transit | Metaheuristics | Multi-objective optimization | Two-echelon location routing problem,16,0,,,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,Applied Soft Computing,1568-4946,Top,Analytics,,2021-2022
2-s2.0-85089446050,10.1016/j.ejor.2020.07.046,S037722172030672X,,Incentive rate determination in viral marketing,ar,Article,Tavasoli A.,60027546;60021918;60011132,Payame Noor University;University of Virginia;Ohio University,Tehran;Charlottesville;Athens,Iran;United States;United States,4,"Tavasoli, Ali;Shakeri, Heman;Ardjmand, Ehsan;Young, William A.",36971519100;55692755200;55625571400;23013584800,60027546;60021918;60011132;60011132,2021-03-16,16 March 2021,European Journal of Operational Research,03772217,22489,,Journal,289,3,,1169-1187,"In viral marketing campaigns, incentivized consumers can act as sales agents by sharing information. In this study, we investigate the problem of incentive rate determination over a network of consumers to maximize the profit of a single good by a monopolist. For this purpose, we develop an epidemic spreading model to explore the dynamics of a viral marketing campaign under network externalities and incentivized individuals. We will examine two cases of homogeneous and heterogeneous incentive rates. In each case, we derive an N-intertwined dynamics model and obtain the existence and stability conditions of a trade-free or an endemic equilibrium. By treating the incentive as a control parameter, we investigate the problem of maximizing the monopolist's profit by formulating two nonlinear programming models. In the case of homogeneous incentive rates, results show that the optimal incentive is determined by devising a balance between the consumers’ states in the Markov process. In the heterogeneous case, it is observed that despite the existence of a strong correlation with different centrality measures, the optimal incentive allocation cannot be solely determined by centrality measures.",Dynamical systems over networks | Epidemic spread | Incentive rate determination | Nonlinear programming | OR in marketing,7,0,,,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,European Journal of Operations Research,0377-2217,Top,,,2020-2021
2-s2.0-85097094314,10.1016/j.asoc.2020.106953,S1568494620308917,,Mitigating the risk of infection spread in manual order picking operations: A multi-objective approach,ar,Article,Ardjmand E.,60027546;60021918;60011132;121575713,Payame Noor University;University of Virginia;Ohio University;Solutions Design,Tehran;Charlottesville;Athens;Westerville,Iran;United States;United States;United States,5,"Ardjmand, Ehsan;Singh, Manjeet;Shakeri, Heman;Tavasoli, Ali;Young, William A.",55625571400;57199045224;55692755200;36971519100;23013584800,60011132;121575713;60021918;60027546;60011132,2021-03-01,March 2021,Applied Soft Computing,15684946,18136,,Journal,100,,106953,,"In the aftermath of the COVID-19 pandemic, supply chains experienced an unprecedented challenge to fulfill consumers’ demand. As a vital operational component, manual order picking operations are highly prone to infection spread among the workers, and thus, susceptible to interruption. This study revisits the well-known order batching problem by considering a new overlap objective that measures the time pickers work in close vicinity of each other and acts as a proxy of infection spread risk. For this purpose, a multi-objective optimization model and three multi-objective metaheuristics with an effective seeding procedure are proposed and are tested on the data obtained from a major US-based logistics company. Through extensive numerical experiments and comparison with the company's current practices, the results are discussed, and some managerial insights are offered. It is found that the picking capacity can have a determining impact on reducing the risk of infection spread through minimizing the picking overlap.",Evolutionary methods | Multi-objective metaheuristics | Multi-objective optimization model | Order batching | Order picking | Physical distancing | Picker routing | Supply chain disruption,9,1,repositoryvor,Green,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,Applied Soft Computing,1568-4946,Top,Analytics,,2020-2021
2-s2.0-85086824967,10.1016/j.eswa.2020.113566,S0957417420303900,,"A hybrid artificial neural network, genetic algorithm and column generation heuristic for minimizing makespan in manual order picking operations",ar,Article,Ardjmand E.,60021918;60011132;60003564,University of Virginia;Ohio University;Our Lady of the Lake University,Charlottesville;Athens;San Antonio,United States;United States;United States,6,"Ardjmand, Ehsan;Ghalehkhondabi, Iman;Young, William A.;Sadeghi, Azadeh;Weckman, Gary R.;Shakeri, Heman",55625571400;57191376888;23013584800;56533328400;6602977086;55692755200,60011132;60003564;60011132;60011132;60011132;60021918,2020-11-30,30 November 2020,Expert Systems with Applications,09574174,24201,,Journal,159,,113566,,"At an operational level, order picking is the main activity in fulfillment centers. Motivated by and through collaboration with a third party logistic company, this study presents a novel hybrid column generation (CG), genetic algorithm (GA), and artificial neural network (ANN) heuristic for minimizing makespan in manual order picking operations. The results of column generation heuristic is compared against a mixed integer programming model solved by Gurobi, and a parallel simulated annealing and ant colony optimization (PSA-ACO) previously proposed in the literature. Through numerical experiments, the superiority of CG heuristic compared to other methods is shown, and some managerial insights regarding the relationship between makespan optimization, workload balance, picking capacity, and number of pickers in order picking operations is presented.",Artificial neural networks | Column generation | Genetic algorithm | Order batching | Order picking,20,0,,,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,Expert Systems with Applications,0957-4174,Top,,,2020-2021
2-s2.0-85091819161,10.2478/ijcss-2020-0005,,,A Team-Compatibility Decision Support System for the National Football League,ar,Article,Young W.A.,60011132,Ohio University,Athens,United States,2,"Young, W. A.;Weckman, G. R.",23013584800;6602977086,60011132;60011132,2020-07-01,1 July 2020,International Journal of Computer Science in Sport,,21100224419,16844769,Journal,19,1,,60-101,"Many factors are considered when making a hiring decision in the National Football League (NFL). One difficult decision that executives must make is who they will select in the offseason. Mathematical models can be developed to aid humans in their decision-making processes because these models are able to find hidden relationships within numeric data. This research proposes the Heuristic Evaluation of Artificially Replaced Teammates (HEART) methodology, which is a mathematical model that utilizes machine learning and statistical-based methodologies to aid managers with their hiring decisions. The goal of HEART is to determine expected and theoretical contribution values for a potential candidate, which represents a player's ability to increase or decrease a team's forecasted winning percentage. In order to validate the usefulness of the methodology, the results of a 2007 case study were presented to subject matter experts. After analyzing the survey results statistically, five of the eight decision-making categories were found to be ""very useful""in terms of the information that the methodology provided.",DECISION SUPPORT SYSTEMS | LEARNING SYSTEMS | MACHINE LEARNING | NEURAL NETWORKS | PREDICTION METHODS,1,1,publisherfullgold,Gold,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,,,,,,2019-2020
2-s2.0-85086158326,10.1111/dsji.12212,,,Determining Optimal Skillsets for Business Managers Based on Local and Global Job Markets: A Text Analytics Approach,ar,Article,Nasir M.,60159673;60033461;60012028;60011132,Spears School of Business at Oklahoma State University;University of Massachusetts Lowell;Creighton University;Ohio University,Stillwater;Lowell;Omaha;Athens,United States;United States;United States;United States,4,"Nasir, Murtaza;Dag, Ali;Young, William A.;Delen, Dursun",57203813391;56924945100;23013584800;55887961100,60033461;60012028;60011132;60159673,2020-07-01,1 July 2020,Decision Sciences Journal of Innovative Education,15404595,19900192134,15404609,Journal,18,3,,374-408,"We are experiencing a significant shift in management practices—moving from intuition, experience, and gut-feeling driven decision-making to one that is driven by data, evidence, and computational sciences. This shift, which is often called the analytics revolution, is not only changing the business landscape from a practical perspective but also redefining the white-collar job market. The goal of this study is to employ a data- and analytics-driven approach to analyze a large and feature-rich dataset (which is composed of the recent job postings and the extant published literature) to characterize the state of the current business job market, especially to magnify the analytics related features and expectations including the geographic (i.e., local vs. global) differentiators. Using several graphical and tabular representations, in this paper we report on our thought-provoking findings that collectively illustrate the changing face of knowledge, skills, and abilities required by the current local and global business job markets.",Big Data | Business Analytics | Business Job Market Analysis | Descriptive Analytics | Skillsets | Text Analytics,2,0,,,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,,,,,,2019-2020
2-s2.0-85168164256,10.4018/IJORIS.2020070104,,,Financial Asset Management Using Artificial Neural Networks,ar,Article,Sinaki R.Y.,60011132,Ohio University,Athens,United States,5,"Sinaki, Roohollah Younes;Sadeghi, Azadeh;Lynch, Dustin S.;Young, William A.;Weckman, Gary R.",56534235900;56533328400;58538586700;23013584800;6602977086,60011132;60011132;60011132;60011132;60011132,2020-01-01,2020,International Journal of Operations Research and Information Systems,19479328,21101056542,19479336,Journal,11,3,,66-86,"Investors typically build portfolios for retirement. Investment portfolios are typically based on four asset classes that are commonly managed by large investment firms. The research presented in this article involves the development of an artificial neural network-based methodology that investors can use to support decisions related to determining how assets are allocated within an investment portfolio. The machine learning-based methodology was applied during a time period that included the stock market crash of 2008. Even though this time period was highly volatile, the methodology produced desirable results. Methodologies such as the one presented in this article should be considered by investors because they have produced promising results, especially within unstable markets.",Artificial Intelligence | Artificial Neural Networks | Asset Allocation | Decision Making | Financial | Machine Learning | Moving Average | Portfolio | Stocks,0,1,publisherfree2read,Bronze,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,,,,,,2019-2020
2-s2.0-85085098981,10.1504/IJLSM.2020.107230,,,A multi-objective model for minimising makespan and total travel time in put wall-based picking systems,ar,Article,Ardjmand E.,60022636;60011132;60000689,Frostburg State University;Ohio University;Kansas State University,Frostburg;Athens;Manhattan,United States;United States;United States,6,"Ardjmand, Ehsan;Youssef, Eyad M.;Moyer, Adam;Young, William A.;Weckman, Gary R.;Shakeri, Heman",55625571400;56195708500;57216881928;23013584800;6602977086;55692755200,60022636;60022636;60011132;60011132;60011132;60000689,2020-01-01,2020,International Journal of Logistics Systems and Management,17427967,4700151504,17427975,Journal,36,1,,138-176,"In this study, a multi-objective order batching and picker routing model for minimising the total travel time and makespan in a put wall-based picking system is proposed. A put wall is a hardware composed of containers that is usually used as a sorting station. Put walls usually have limited capacity and can accommodate only a part of received orders at a time. Thus, in put wall-based picking systems, order batching and picker routing should be considered along with the scheduling of the orders on the put wall. To solve the problem, a genetic algorithm (GA), a coevolutionary genetic algorithm (COGA) and an archived multi-objective simulated annealing (AMOSA) are proposed. It is found that GA and COGA offer a more diverse set of solutions to the problem compared to AMOSA.",Genetic algorithm | Order batching | Order picking | Picker routing | Put wall | Simulated annealing,3,0,,,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,International Journal of Logistics Management,0957-4093,High Quality,,,2019-2020
2-s2.0-85079096108,10.3390/en13030571,,,An intelligent model to predict energy performances of residential buildings based on deep neural networks,ar,Article,Sadeghi A.,60011132,Ohio University,Athens,United States,4,"Sadeghi, Azadeh;Sinaki, Roohollah Younes;Young, William A.;Weckman, Gary R.",56533328400;56534235900;23013584800;6602977086,60011132;60011132;60011132;60011132,2020-01-01,2020,Energies,,62932,19961073,Journal,13,3,571,,"As the level of greenhouse gas emissions increases, so does the importance of the energy performance of buildings (EPB). One of the main factors to measure EPB is a structure's heating load (HL) and cooling load (CL). HLs and CLs depend on several variables, such as relative compactness, surface area, wall area, roof area, overall height, orientation, glazing area, and glazing area distribution. This research uses deep neural networks (DNNs) to forecast HLs and CLs for a variety of structures. The DNNs explored in this research include multi-layer perceptron (MLP) networks, and each of the models in this research was developed through extensive testing with a myriad number of layers, process elements, and other data preprocessing techniques. As a result, a DNN is shown to be an improvement for modeling HLs and CLs compared to traditional artificial neural network (ANN) models. In order to extract knowledge from a trained model, a post-processing technique, called sensitivity analysis (SA), was applied to the model that performed the best with respect to the selected goodness-of-fit metric on an independent set of testing data. There are two forms of SA - local and global methods - but both have the same purpose in terms of determining the significance of independent variables within a model. Local SA assumes inputs are independent of each other, while global SA does not. To further the contribution of the research presented within this article, the results of a global SA, called state-based sensitivity analysis (SBSA), are compared to the results obtained from a traditional local technique, called sensitivity analysis about the mean (SAAM). The results of the research demonstrate an improvement over existing conclusions found in literature, which is of particular interest to decision-makers and designers of building structures.",Artificial neural networks | Cooling load | Deep neural networks | Energy performance of buildings | Global sensitivity analysis | Heating load | Local sensitivity analysis | Machine learning,29,1,repositoryvor,Green,,undefined,,23013584800,William Young,William,Young,Tenure,Professor,Analytics and Information Systems Faculty,,23013584800,,,,,,2019-2020
